sugarRegion,price,unit,ym,marketingYear,marketingYearMonth,weight,contractType
Region 2,360.9378,Tonne,2018/04,2017/2018,Apr,565228.87,Monthly data
Region 3,386.2186,Tonne,2018/04,2017/2018,Apr,102342.02,Monthly data
EU Average,375.5504,Tonne,2018/03,2017/2018,Mar,828540.07,Monthly data
Region 1,370.8715,Tonne,2018/03,2017/2018,Mar,157147.83,Monthly data
Region 2,373.5037,Tonne,2018/03,2017/2018,Mar,588742.43,Monthly data
Region 3,399.0258,Tonne,2018/03,2017/2018,Mar,82649.81,Monthly data
EU Average,371.7169,Tonne,2018/02,2017/2018,Feb,760815.99,Monthly data
Region 1,370.7695,Tonne,2018/02,2017/2018,Feb,144480.54,Monthly data
Region 2,366.8181,Tonne,2018/02,2017/2018,Feb,539059.16,Monthly data
Region 3,407.6609,Tonne,2018/02,2017/2018,Feb,77276.29,Monthly data
EU Average,370.9016,Tonne,2018/01,2017/2018,Jan,915814.19,Monthly data
Region 1,375.7495,Tonne,2018/01,2017/2018,Jan,192671.05,Monthly data
Region 2,364.8241,Tonne,2018/01,2017/2018,Jan,640551.09,Monthly data
Region 3,406.727,Tonne,2018/01,2017/2018,Jan,82592.06,Monthly data
EU Average,541.1946,Tonne,2025/02,2024/2025,Feb,734733.7,Monthly data
Region 1,532.9485,Tonne,2025/02,2024/2025,Feb,165493.22,Monthly data
Region 2,534.6688,Tonne,2025/02,2024/2025,Feb,495005.51,Monthly data
Region 3,603.0928,Tonne,2025/02,2024/2025,Feb,74234.97,Monthly data
EU Average,540.4899,Tonne,2025/01,2024/2025,Jan,18661.87,Short term contracts
EU Average,558.889,Tonne,2025/01,2024/2025,Jan,842508.09,Monthly data
Region 1,493.0877,Tonne,2025/01,2024/2025,Jan,7835.38,Short term contracts
Region 1,553.8018,Tonne,2025/01,2024/2025,Jan,209008.73,Monthly data
Region 2,553.7752,Tonne,2025/01,2024/2025,Jan,556558.73,Monthly data
Region 3,609.6999,Tonne,2025/01,2024/2025,Jan,76940.63,Monthly data
Region 3,582.9171,Tonne,2025/01,2024/2025,Jan,9014.01,Short term contracts
EU Average,541.0949,Tonne,2024/12,2024/2025,Dec,21800.77,Short term contracts
EU Average,580.4718,Tonne,2024/12,2024/2025,Dec,615715.35,Monthly data
Region 1,484.4143,Tonne,2024/12,2024/2025,Dec,6699.92,Short term contracts
Region 1,586.0988,Tonne,2024/12,2024/2025,Dec,142117.32,Monthly data
Region 2,570.2111,Tonne,2024/12,2024/2025,Dec,414016.08,Monthly data
Region 3,573.3491,Tonne,2024/12,2024/2025,Dec,9516.43,Short term contracts
Region 3,638.3485,Tonne,2024/12,2024/2025,Dec,59581.95,Monthly data
EU Average,598.9895,Tonne,2024/11,2024/2025,Nov,814545.38,Monthly data
EU Average,584.4282,Tonne,2024/11,2024/2025,Nov,37349.98,Short term contracts
Region 1,591.0524,Tonne,2024/11,2024/2025,Nov,202879.25,Monthly data
Region 1,491.9248,Tonne,2024/11,2024/2025,Nov,11010.9,Short term contracts
Region 2,595.6056,Tonne,2024/11,2024/2025,Nov,539006.12,Monthly data
Region 2,655.4912,Tonne,2024/11,2024/2025,Nov,13977.06,Short term contracts
Region 3,586.4743,Tonne,2024/11,2024/2025,Nov,12362.02,Short term contracts
Region 3,646.2532,Tonne,2024/11,2024/2025,Nov,72660.01,Monthly data
EU Average,618.8922,Tonne,2024/10,2024/2025,Oct,837562.24,Monthly data
EU Average,541.1378,Tonne,2024/10,2024/2025,Oct,34356.98,Short term contracts
Region 1,615.608,Tonne,2024/10,2024/2025,Oct,204169.34,Monthly data
Region 1,508.53,Tonne,2024/10,2024/2025,Oct,18775.07,Short term contracts
Region 2,608.9453,Tonne,2024/10,2024/2025,Oct,553834.2,Monthly data
Region 3,696.5642,Tonne,2024/10,2024/2025,Oct,79558.7,Monthly data
Region 3,599.6754,Tonne,2024/10,2024/2025,Oct,10577.53,Short term contracts
EU Average,578.6407,Tonne,2024/09,2023/2024,Sep,34313.42,Short term contracts
EU Average,757.6904,Tonne,2024/09,2023/2024,Sep,766867.4,Monthly data
Region 1,512.2054,Tonne,2024/09,2023/2024,Sep,14724,Short term contracts
Region 1,717.8681,Tonne,2024/09,2023/2024,Sep,180374.95,Monthly data
Region 2,762.8861,Tonne,2024/09,2023/2024,Sep,507375.62,Monthly data
Region 3,815.1599,Tonne,2024/09,2023/2024,Sep,79116.83,Monthly data
Region 3,607.3142,Tonne,2024/09,2023/2024,Sep,12282.28,Short term contracts
EU Average,611.9301,Tonne,2024/08,2023/2024,Aug,25736.08,Short term contracts
EU Average,787.0033,Tonne,2024/08,2023/2024,Aug,732968.38,Monthly data
Region 1,536.8459,Tonne,2024/08,2023/2024,Aug,14122.2,Short term contracts
Region 1,738.6899,Tonne,2024/08,2023/2024,Aug,182234.42,Monthly data
Region 2,794.2982,Tonne,2024/08,2023/2024,Aug,475956.52,Monthly data
Region 3,858.3124,Tonne,2024/08,2023/2024,Aug,74777.44,Monthly data
Region 3,621.8093,Tonne,2024/08,2023/2024,Aug,5570,Short term contracts
EU Average,774.9728,Tonne,2024/07,2023/2024,Jul,806128.65,Monthly data
EU Average,647.7752,Tonne,2024/07,2023/2024,Jul,27307.5,Short term contracts
Region 1,729.6701,Tonne,2024/07,2023/2024,Jul,177958.09,Monthly data
Region 1,601.2404,Tonne,2024/07,2023/2024,Jul,17135.51,Short term contracts
Region 2,779.1737,Tonne,2024/07,2023/2024,Jul,551397.61,Monthly data
Region 3,676.6004,Tonne,2024/07,2023/2024,Jul,5528.51,Short term contracts
Region 3,849.8118,Tonne,2024/07,2023/2024,Jul,76772.95,Monthly data
EU Average,807.3487,Tonne,2024/06,2023/2024,Jun,759287.72,Monthly data
EU Average,634.4419,Tonne,2024/06,2023/2024,Jun,17565.8,Short term contracts
Region 1,603.8945,Tonne,2024/06,2023/2024,Jun,12462.79,Short term contracts
Region 1,755.4371,Tonne,2024/06,2023/2024,Jun,184166.76,Monthly data
Region 2,816.1873,Tonne,2024/06,2023/2024,Jun,495017.79,Monthly data
Region 3,872.0797,Tonne,2024/06,2023/2024,Jun,80103.17,Monthly data
Region 3,693.7245,Tonne,2024/06,2023/2024,Jun,4395.63,Short term contracts
EU Average,671.4091,Tonne,2024/05,2023/2024,May,17900.44,Short term contracts
EU Average,827.1283,Tonne,2024/05,2023/2024,May,741697.43,Monthly data
Region 1,645.0202,Tonne,2024/05,2023/2024,May,12338.14,Short term contracts
Region 1,772.9518,Tonne,2024/05,2023/2024,May,174561.68,Monthly data
Region 2,838.1529,Tonne,2024/05,2023/2024,May,483671.33,Monthly data
Region 3,729.4234,Tonne,2024/05,2023/2024,May,4527.24,Short term contracts
Region 3,876.5486,Tonne,2024/05,2023/2024,May,83464.42,Monthly data
EU Average,831.445,Tonne,2024/04,2023/2024,Apr,739900.58,Monthly data
EU Average,658.2699,Tonne,2024/04,2023/2024,Apr,16320.77,Short term contracts
Region 1,628.8182,Tonne,2024/04,2023/2024,Apr,10962.16,Short term contracts
Region 1,779.6444,Tonne,2024/04,2023/2024,Apr,181905.16,Monthly data
Region 2,842.7522,Tonne,2024/04,2023/2024,Apr,483128.89,Monthly data
Region 3,884.339,Tonne,2024/04,2023/2024,Apr,74866.53,Monthly data
Region 3,705.6882,Tonne,2024/04,2023/2024,Apr,4146.41,Short term contracts
EU Average,843.6439,Tonne,2024/03,2023/2024,Mar,707299.33,Monthly data
EU Average,710.4434,Tonne,2024/03,2023/2024,Mar,14970.24,Short term contracts
Region 1,786.2195,Tonne,2024/03,2023/2024,Mar,161256.1,Monthly data
Region 1,645.7796,Tonne,2024/03,2023/2024,Mar,8900.16,Short term contracts
Region 2,856.0372,Tonne,2024/03,2023/2024,Mar,473306.25,Monthly data
Region 3,890.3083,Tonne,2024/03,2023/2024,Mar,72736.98,Monthly data
Region 3,806.3566,Tonne,2024/03,2023/2024,Mar,3532.09,Short term contracts
EU Average,836.5274,Tonne,2024/02,2023/2024,Feb,725027.84,Monthly data
Region 1,790.3484,Tonne,2024/02,2023/2024,Feb,162061.64,Monthly data
Region 1,690.7079,Tonne,2024/02,2023/2024,Feb,6856,Short term contracts
Region 2,839.5691,Tonne,2024/02,2023/2024,Feb,486232.38,Monthly data
Region 3,824.8537,Tonne,2024/02,2023/2024,Feb,2949.89,Short term contracts
Region 3,914.7829,Tonne,2024/02,2023/2024,Feb,76733.82,Monthly data
EU Average,771.8547,Tonne,2024/01,2023/2024,Jan,16805.9,Short term contracts
EU Average,852.6572,Tonne,2024/01,2023/2024,Jan,767131.65,Monthly data
Region 1,821.5357,Tonne,2024/01,2023/2024,Jan,175274.9,Monthly data
Region 1,738.4093,Tonne,2024/01,2023/2024,Jan,9674.12,Short term contracts
Region 2,855.4813,Tonne,2024/01,2023/2024,Jan,517531.65,Monthly data
Region 3,906.3837,Tonne,2024/01,2023/2024,Jan,74325.1,Monthly data
Region 3,829.5553,Tonne,2024/01,2023/2024,Jan,2907.1,Short term contracts
EU Average,782.4318,Tonne,2023/12,2023/2024,Dec,23712.52,Short term contracts
EU Average,856.4084,Tonne,2023/12,2023/2024,Dec,587977.45,Monthly data
Region 1,689.2638,Tonne,2023/12,2023/2024,Dec,10565.66,Short term contracts
Region 1,815.9868,Tonne,2023/12,2023/2024,Dec,135393.13,Monthly data
Region 2,855.9473,Tonne,2023/12,2023/2024,Dec,390196.58,Monthly data
Region 3,947.0144,Tonne,2023/12,2023/2024,Dec,62387.74,Monthly data
Region 3,848.9358,Tonne,2023/12,2023/2024,Dec,8156.95,Short term contracts
EU Average,853.8394,Tonne,2023/11,2023/2024,Nov,789585.25,Monthly data
EU Average,816.0247,Tonne,2023/11,2023/2024,Nov,30013.18,Short term contracts
Region 1,728.3658,Tonne,2023/11,2023/2024,Nov,11385.7,Short term contracts
Region 1,812.0034,Tonne,2023/11,2023/2024,Nov,182546.02,Monthly data
Region 2,855.3958,Tonne,2023/11,2023/2024,Nov,527358.64,Monthly data
Region 3,849.2265,Tonne,2023/11,2023/2024,Nov,8684.94,Short term contracts
Region 3,939.3834,Tonne,2023/11,2023/2024,Nov,79680.59,Monthly data
EU Average,845.3002,Tonne,2023/10,2023/2024,Oct,31696.94,Short term contracts
EU Average,843.4815,Tonne,2023/10,2023/2024,Oct,775722.35,Monthly data
Region 1,814.5859,Tonne,2023/10,2023/2024,Oct,186163.18,Monthly data
Region 1,781.8652,Tonne,2023/10,2023/2024,Oct,9582.26,Short term contracts
Region 2,892.9552,Tonne,2023/10,2023/2024,Oct,10569.64,Short term contracts
Region 2,841.1919,Tonne,2023/10,2023/2024,Oct,505961.26,Monthly data
Region 3,921.6865,Tonne,2023/10,2023/2024,Oct,83597.91,Monthly data
Region 3,854.3217,Tonne,2023/10,2023/2024,Oct,11545.04,Short term contracts
EU Average,950.1393,Tonne,2023/09,2022/2023,Sep,28420.41,Short term contracts
EU Average,821.0778,Tonne,2023/09,2022/2023,Sep,742567.32,Monthly data
Region 1,785.9463,Tonne,2023/09,2022/2023,Sep,192415.51,Monthly data
Region 1,851.9634,Tonne,2023/09,2022/2023,Sep,5263.62,Short term contracts
Region 2,975.7098,Tonne,2023/09,2022/2023,Sep,11976.2,Short term contracts
Region 2,817.4386,Tonne,2023/09,2022/2023,Sep,469053.97,Monthly data
Region 3,925.4808,Tonne,2023/09,2022/2023,Sep,81097.84,Monthly data
Region 3,968.9687,Tonne,2023/09,2022/2023,Sep,11180.59,Short term contracts
EU Average,819.05,Tonne,2023/08,2022/2023,Aug,767329.92,Monthly data
EU Average,953.2453,Tonne,2023/08,2022/2023,Aug,20200.38,Short term contracts
Region 1,795.3618,Tonne,2023/08,2022/2023,Aug,204459.49,Monthly data
Region 1,883.1017,Tonne,2023/08,2022/2023,Aug,4959.66,Short term contracts
Region 2,808.4514,Tonne,2023/08,2022/2023,Aug,473684.14,Monthly data
Region 3,929.6458,Tonne,2023/08,2022/2023,Aug,89186.29,Monthly data
Region 3,984.3279,Tonne,2023/08,2022/2023,Aug,8499.28,Short term contracts
EU Average,937.9277,Tonne,2023/07,2022/2023,Jul,17620.44,Short term contracts
EU Average,821.1862,Tonne,2023/07,2022/2023,Jul,731810.98,Monthly data
Region 1,882.8717,Tonne,2023/07,2022/2023,Jul,4545.38,Short term contracts
Region 1,809.8057,Tonne,2023/07,2022/2023,Jul,166410.82,Monthly data
Region 2,805.9719,Tonne,2023/07,2022/2023,Jul,468778.47,Monthly data
Region 3,992.8188,Tonne,2023/07,2022/2023,Jul,8345.74,Short term contracts
Region 3,914.6018,Tonne,2023/07,2022/2023,Jul,96621.69,Monthly data
EU Average,816.8974,Tonne,2023/06,2022/2023,Jun,792997.89,Monthly data
Region 1,898.531,Tonne,2023/06,2022/2023,Jun,4154.04,Short term contracts
Region 1,809.4354,Tonne,2023/06,2022/2023,Jun,185550.89,Monthly data
Region 2,805.9809,Tonne,2023/06,2022/2023,Jun,519174.91,Monthly data
Region 3,896.7884,Tonne,2023/06,2022/2023,Jun,88272.09,Monthly data
Region 3,1009.8355,Tonne,2023/06,2022/2023,Jun,7475.87,Short term contracts
EU Average,813.7067,Tonne,2023/05,2022/2023,May,741646.52,Monthly data
Region 1,808.2492,Tonne,2023/05,2022/2023,May,172288.71,Monthly data
Region 2,800.078,Tonne,2023/05,2022/2023,May,484731.41,Monthly data
Region 3,976.0972,Tonne,2023/05,2022/2023,May,5801.11,Short term contracts
Region 3,902.8812,Tonne,2023/05,2022/2023,May,84626.4,Monthly data
EU Average,812.1177,Tonne,2023/04,2022/2023,Apr,666358.92,Monthly data
Region 1,805.5694,Tonne,2023/04,2022/2023,Apr,145115.54,Monthly data
Region 2,799.9834,Tonne,2023/04,2022/2023,Apr,442119.09,Monthly data
Region 3,891.9296,Tonne,2023/04,2022/2023,Apr,79124.29,Monthly data
Region 3,945.5792,Tonne,2023/04,2022/2023,Apr,6167.34,Short term contracts
EU Average,803.7721,Tonne,2023/03,2022/2023,Mar,783670.6,Monthly data
Region 1,801.7447,Tonne,2023/03,2022/2023,Mar,175582.63,Monthly data
Region 2,792.9604,Tonne,2023/03,2022/2023,Mar,525205.96,Monthly data
Region 3,992.6839,Tonne,2023/03,2022/2023,Mar,3859.22,Short term contracts
Region 3,876.5782,Tonne,2023/03,2022/2023,Mar,82882.02,Monthly data
EU Average,803.9624,Tonne,2023/02,2022/2023,Feb,689194.29,Monthly data
Region 1,802.1421,Tonne,2023/02,2022/2023,Feb,138421.47,Monthly data
Region 2,788.3549,Tonne,2023/02,2022/2023,Feb,467256.24,Monthly data
Region 3,894.2994,Tonne,2023/02,2022/2023,Feb,83516.58,Monthly data
Region 3,968.5997,Tonne,2023/02,2022/2023,Feb,5685.38,Short term contracts
EU Average,773.3989,Tonne,2023/01,2022/2023,Jan,753659.47,Monthly data
Region 1,773.618,Tonne,2023/01,2022/2023,Jan,154439.08,Monthly data
Region 2,756.7961,Tonne,2023/01,2022/2023,Jan,514246.73,Monthly data
Region 3,935.6807,Tonne,2023/01,2022/2023,Jan,6085.74,Short term contracts
Region 3,873.478,Tonne,2023/01,2022/2023,Jan,84973.66,Monthly data
EU Average,655.1745,Tonne,2022/12,2022/2023,Dec,710698.28,Monthly data
EU Average,806.5801,Tonne,2022/12,2022/2023,Dec,17640.09,Short term contracts
Region 1,665.5725,Tonne,2022/12,2022/2023,Dec,137914.63,Monthly data
Region 1,928.0843,Tonne,2022/12,2022/2023,Dec,5568.8,Short term contracts
Region 2,624.3041,Tonne,2022/12,2022/2023,Dec,499237.34,Monthly data
Region 3,978.9387,Tonne,2022/12,2022/2023,Dec,5407.31,Short term contracts
Region 3,845.2266,Tonne,2022/12,2022/2023,Dec,73546.31,Monthly data
EU Average,736.9015,Tonne,2022/11,2022/2023,Nov,30267.39,Short term contracts
EU Average,622.4858,Tonne,2022/11,2022/2023,Nov,826153.74,Monthly data
Region 1,863.4678,Tonne,2022/11,2022/2023,Nov,7735.44,Short term contracts
Region 1,622.8679,Tonne,2022/11,2022/2023,Nov,171134.52,Monthly data
Region 2,588.0966,Tonne,2022/11,2022/2023,Nov,556118.94,Monthly data
Region 2,576.9732,Tonne,2022/11,2022/2023,Nov,15959.24,Short term contracts
Region 3,815.196,Tonne,2022/11,2022/2023,Nov,98900.29,Monthly data
Region 3,976.2683,Tonne,2022/11,2022/2023,Nov,6572.71,Short term contracts
EU Average,586.3083,Tonne,2022/10,2022/2023,Oct,788994.04,Monthly data
EU Average,754.5537,Tonne,2022/10,2022/2023,Oct,27035.41,Short term contracts
Region 1,594.7984,Tonne,2022/10,2022/2023,Oct,163113.48,Monthly data
Region 1,837.9322,Tonne,2022/10,2022/2023,Oct,5101.2,Short term contracts
Region 2,560.128,Tonne,2022/10,2022/2023,Oct,526695.22,Monthly data
Region 2,611.5393,Tonne,2022/10,2022/2023,Oct,14154.82,Short term contracts
Region 3,711.3693,Tonne,2022/10,2022/2023,Oct,99185.34,Monthly data
Region 3,960.0983,Tonne,2022/10,2022/2023,Oct,7779.39,Short term contracts
EU Average,666.699,Tonne,2022/09,2021/2022,Sep,35795.28,Short term contracts
EU Average,512.0173,Tonne,2022/09,2021/2022,Sep,861516.43,Monthly data
Region 1,820.9862,Tonne,2022/09,2021/2022,Sep,4557.08,Short term contracts
Region 1,474.4671,Tonne,2022/09,2021/2022,Sep,178766.98,Monthly data
Region 2,494.1592,Tonne,2022/09,2021/2022,Sep,574442.66,Monthly data
Region 2,559.9668,Tonne,2022/09,2021/2022,Sep,23824.72,Short term contracts
Region 3,914.8637,Tonne,2022/09,2021/2022,Sep,7413.48,Short term contracts
Region 3,668.7127,Tonne,2022/09,2021/2022,Sep,108306.79,Monthly data
EU Average,484.414,Tonne,2022/08,2021/2022,Aug,842717.81,Monthly data
EU Average,694.1847,Tonne,2022/08,2021/2022,Aug,32648.76,Short term contracts
Region 1,822.1782,Tonne,2022/08,2021/2022,Aug,5088.29,Short term contracts
Region 1,466.7954,Tonne,2022/08,2021/2022,Aug,181719.44,Monthly data
Region 2,462.4485,Tonne,2022/08,2021/2022,Aug,550858.61,Monthly data
Region 2,611.432,Tonne,2022/08,2021/2022,Aug,20255.66,Short term contracts
Region 3,623.342,Tonne,2022/08,2021/2022,Aug,110139.77,Monthly data
Region 3,834.4954,Tonne,2022/08,2021/2022,Aug,7304.81,Short term contracts
EU Average,472.5888,Tonne,2022/07,2021/2022,Jul,781025.39,Monthly data
EU Average,596.3689,Tonne,2022/07,2021/2022,Jul,21005.6,Short term contracts
Region 1,445.1062,Tonne,2022/07,2021/2022,Jul,152362.19,Monthly data
Region 2,505.1002,Tonne,2022/07,2021/2022,Jul,13981.53,Short term contracts
Region 2,457.4885,Tonne,2022/07,2021/2022,Jul,520504.24,Monthly data
Region 3,583.9721,Tonne,2022/07,2021/2022,Jul,108158.97,Monthly data
Region 3,797.5384,Tonne,2022/07,2021/2022,Jul,4057.59,Short term contracts
EU Average,453.4149,Tonne,2022/06,2021/2022,Jun,906456.24,Monthly data
EU Average,544.3602,Tonne,2022/06,2021/2022,Jun,26175.76,Short term contracts
Region 1,445.9266,Tonne,2022/06,2021/2022,Jun,177680.22,Monthly data
Region 2,438.243,Tonne,2022/06,2021/2022,Jun,628135.84,Monthly data
Region 2,480.0533,Tonne,2022/06,2021/2022,Jun,18910.74,Short term contracts
Region 3,561.3293,Tonne,2022/06,2021/2022,Jun,100640.18,Monthly data
Region 3,703.4123,Tonne,2022/06,2021/2022,Jun,4750.16,Short term contracts
EU Average,451.473,Tonne,2022/05,2021/2022,May,841849.1,Monthly data
EU Average,547.8681,Tonne,2022/05,2021/2022,May,29075.48,Short term contracts
Region 1,440.709,Tonne,2022/05,2021/2022,May,175312.03,Monthly data
Region 2,437.9665,Tonne,2022/05,2021/2022,May,567173.06,Monthly data
Region 2,491.9354,Tonne,2022/05,2021/2022,May,18893.8,Short term contracts
Region 3,547.5603,Tonne,2022/05,2021/2022,May,99364.01,Monthly data
Region 3,656.677,Tonne,2022/05,2021/2022,May,6769.8,Short term contracts
EU Average,528.8491,Tonne,2022/04,2021/2022,Apr,25410.17,Short term contracts
EU Average,445.9537,Tonne,2022/04,2021/2022,Apr,721428.13,Monthly data
Region 1,440.0461,Tonne,2022/04,2021/2022,Apr,153109.9,Monthly data
Region 1,609.4186,Tonne,2022/04,2021/2022,Apr,4171.6,Short term contracts
Region 2,465.9941,Tonne,2022/04,2021/2022,Apr,13948.31,Short term contracts
Region 2,435.6899,Tonne,2022/04,2021/2022,Apr,493474.88,Monthly data
Region 3,603.0052,Tonne,2022/04,2021/2022,Apr,7290.26,Short term contracts
Region 3,525.7129,Tonne,2022/04,2021/2022,Apr,74843.35,Monthly data
EU Average,511.3381,Tonne,2022/03,2021/2022,Mar,25767.01,Short term contracts
EU Average,442.7923,Tonne,2022/03,2021/2022,Mar,829522.55,Monthly data
Region 1,428.1944,Tonne,2022/03,2021/2022,Mar,178172.04,Monthly data
Region 1,545.2518,Tonne,2022/03,2021/2022,Mar,4138.76,Short term contracts
Region 2,436.0083,Tonne,2022/03,2021/2022,Mar,569247.43,Monthly data
Region 2,472.069,Tonne,2022/03,2021/2022,Mar,14167.75,Short term contracts
Region 3,521.507,Tonne,2022/03,2021/2022,Mar,82103.07,Monthly data
Region 3,567.0976,Tonne,2022/03,2021/2022,Mar,7460.5,Short term contracts
EU Average,493.0062,Tonne,2022/02,2021/2022,Feb,24457.88,Short term contracts
EU Average,440.1597,Tonne,2022/02,2021/2022,Feb,728153.29,Monthly data
Region 1,432.9671,Tonne,2022/02,2021/2022,Feb,139025.06,Monthly data
Region 2,457.6547,Tonne,2022/02,2021/2022,Feb,14519.1,Short term contracts
Region 2,429.3586,Tonne,2022/02,2021/2022,Feb,512978.81,Monthly data
Region 3,526.0528,Tonne,2022/02,2021/2022,Feb,76149.42,Monthly data
Region 3,550.9866,Tonne,2022/02,2021/2022,Feb,7654.96,Short term contracts
EU Average,432.6411,Tonne,2022/01,2021/2022,Jan,756931.15,Monthly data
EU Average,496.5244,Tonne,2022/01,2021/2022,Jan,31038.71,Short term contracts
Region 1,425.234,Tonne,2022/01,2021/2022,Jan,153386.47,Monthly data
Region 2,456.4607,Tonne,2022/01,2021/2022,Jan,14787.88,Short term contracts
Region 2,422.7572,Tonne,2022/01,2021/2022,Jan,524340.18,Monthly data
Region 3,512.4181,Tonne,2022/01,2021/2022,Jan,79204.5,Monthly data
Region 3,539.3503,Tonne,2022/01,2021/2022,Jan,13208.74,Short term contracts
EU Average,456.0762,Tonne,2021/12,2021/2022,Dec,40776.79,Short term contracts
EU Average,420.7764,Tonne,2021/12,2021/2022,Dec,719458.26,Monthly data
Region 1,408.4176,Tonne,2021/12,2021/2022,Dec,151527.94,Monthly data
Region 1,451.9603,Tonne,2021/12,2021/2022,Dec,7285.13,Short term contracts
Region 2,420.2732,Tonne,2021/12,2021/2022,Dec,21969.22,Short term contracts
Region 2,411.1934,Tonne,2021/12,2021/2022,Dec,495595.74,Monthly data
Region 3,526.9422,Tonne,2021/12,2021/2022,Dec,11522.44,Short term contracts
Region 3,512.3227,Tonne,2021/12,2021/2022,Dec,72334.59,Monthly data
EU Average,458.0422,Tonne,2021/11,2021/2022,Nov,38582.21,Short term contracts
EU Average,413.8389,Tonne,2021/11,2021/2022,Nov,826032.04,Monthly data
Region 1,428.1522,Tonne,2021/11,2021/2022,Nov,5504.99,Short term contracts
Region 1,405.7416,Tonne,2021/11,2021/2022,Nov,167505.4,Monthly data
Region 2,404.8176,Tonne,2021/11,2021/2022,Nov,578380.46,Monthly data
Region 2,427.5721,Tonne,2021/11,2021/2022,Nov,19611.2,Short term contracts
Region 3,514.6364,Tonne,2021/11,2021/2022,Nov,13466.02,Short term contracts
Region 3,495.8649,Tonne,2021/11,2021/2022,Nov,80146.18,Monthly data
EU Average,416.3657,Tonne,2021/10,2021/2022,Oct,791711.03,Monthly data
EU Average,457.1587,Tonne,2021/10,2021/2022,Oct,34357.37,Short term contracts
Region 1,416.316,Tonne,2021/10,2021/2022,Oct,3392.28,Short term contracts
Region 1,400.9746,Tonne,2021/10,2021/2022,Oct,157761.64,Monthly data
Region 2,410.9674,Tonne,2021/10,2021/2022,Oct,547694.74,Monthly data
Region 2,427.8773,Tonne,2021/10,2021/2022,Oct,17469.23,Short term contracts
Region 3,478.7941,Tonne,2021/10,2021/2022,Oct,86254.65,Monthly data
Region 3,505.3271,Tonne,2021/10,2021/2022,Oct,13495.86,Short term contracts
EU Average,408.0752,Tonne,2021/09,2020/2021,Sep,801223.96,Monthly data
EU Average,481.2016,Tonne,2021/09,2020/2021,Sep,52387.71,Short term contracts
Region 1,395.8054,Tonne,2021/09,2020/2021,Sep,161832.18,Monthly data
Region 1,424.1568,Tonne,2021/09,2020/2021,Sep,10869.33,Short term contracts
Region 2,494.0783,Tonne,2021/09,2020/2021,Sep,30109.26,Short term contracts
Region 2,399.3274,Tonne,2021/09,2020/2021,Sep,530041.58,Monthly data
Region 3,468.6359,Tonne,2021/09,2020/2021,Sep,109350.2,Monthly data
Region 3,501.5651,Tonne,2021/09,2020/2021,Sep,11409.12,Short term contracts
EU Average,445.5333,Tonne,2021/08,2020/2021,Aug,27536.46,Short term contracts
EU Average,402.416,Tonne,2021/08,2020/2021,Aug,750294.98,Monthly data
Region 1,393.9462,Tonne,2021/08,2020/2021,Aug,155923.9,Monthly data
Region 1,447.5361,Tonne,2021/08,2020/2021,Aug,4183.05,Short term contracts
Region 2,426.1852,Tonne,2021/08,2020/2021,Aug,15819.93,Short term contracts
Region 2,393.3511,Tonne,2021/08,2020/2021,Aug,496304.59,Monthly data
Region 3,485.0513,Tonne,2021/08,2020/2021,Aug,7533.48,Short term contracts
Region 3,461.7591,Tonne,2021/08,2020/2021,Aug,98066.49,Monthly data
EU Average,426.5385,Tonne,2021/07,2020/2021,Jul,27388.32,Short term contracts
EU Average,399.8782,Tonne,2021/07,2020/2021,Jul,757953.51,Monthly data
Region 1,403.2664,Tonne,2021/07,2020/2021,Jul,7248.46,Short term contracts
Region 1,391.3047,Tonne,2021/07,2020/2021,Jul,148152.61,Monthly data
Region 2,417.7319,Tonne,2021/07,2020/2021,Jul,13990.65,Short term contracts
Region 2,391.698,Tonne,2021/07,2020/2021,Jul,517218.14,Monthly data
Region 3,459.2965,Tonne,2021/07,2020/2021,Jul,92582.77,Monthly data
Region 3,474.0074,Tonne,2021/07,2020/2021,Jul,6149.21,Short term contracts
EU Average,432.5782,Tonne,2021/06,2020/2021,Jun,19585.47,Short term contracts
EU Average,396.6743,Tonne,2021/06,2020/2021,Jun,802306.48,Monthly data
Region 1,391.8618,Tonne,2021/06,2020/2021,Jun,159673.32,Monthly data
Region 2,388.5278,Tonne,2021/06,2020/2021,Jun,552149.16,Monthly data
Region 3,454.8777,Tonne,2021/06,2020/2021,Jun,90484,Monthly data
Region 3,455.434,Tonne,2021/06,2020/2021,Jun,7526.69,Short term contracts
EU Average,408.7852,Tonne,2021/05,2020/2021,May,22213.31,Short term contracts
EU Average,396.2295,Tonne,2021/05,2020/2021,May,725056.2,Monthly data
Region 1,402.4229,Tonne,2021/05,2020/2021,May,7409.66,Short term contracts
Region 1,389.7392,Tonne,2021/05,2020/2021,May,148254.7,Monthly data
Region 2,387.3494,Tonne,2021/05,2020/2021,May,483597.34,Monthly data
Region 3,452.6286,Tonne,2021/05,2020/2021,May,93204.16,Monthly data
Region 3,443.7106,Tonne,2021/05,2020/2021,May,7843.59,Short term contracts
EU Average,413.3808,Tonne,2021/04,2020/2021,Apr,16199.25,Short term contracts
EU Average,394.8225,Tonne,2021/04,2020/2021,Apr,709829.28,Monthly data
Region 1,388.9875,Tonne,2021/04,2020/2021,Apr,143747.37,Monthly data
Region 2,387.1517,Tonne,2021/04,2020/2021,Apr,486297.73,Monthly data
